Código;Nombre;Fabricante;Modelo;Número de Serial;Patente;Tipo;Clasificación 1;Clasificación 2;Ubicado en ó es Parte de;Formulario Personalizado
MBUS-0018;MINI BUS;MERCEDES BENZ;SPRINTER 517 CDI - 19+1 4X4;W1V907657SP813604;VTHH-64;MINIBUSES;VEHÍCULOS MENORES;2026;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
MBUS-0019;MINI BUS;MERCEDES BENZ;SPRINTER 517 CDI - 19+1 4X4;W1V907657SP814866;VTHH-62;MINIBUSES;VEHÍCULOS MENORES;2026;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
MDLF-0001;SPREADER;MODULIFT;250/400 8MTS 400T;10P000042-10P000041-22M000052-22M000051-20M000072-20M000073.;;;;;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
MDLF-0002;SPREADER;MODULIFT;110H 7MTS 170T;10K000287-10K00289-22J000200-22J00200198-20J000219-20J000221;;;;;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
MDLF-0003;SPREADER;MODULIFT;110H 8MTS 170T;10K000288-22J000199-20J000218-22J000201-10K000290;;;;;// GRUPO EMI/ CC-0389 K484 ENAP - SWS and WSA unit - Aconcagua Refinery, Chile - I03 General Construction Works/ ;OPERATIVO - EN USO
MDLF-0004;SPREADER;MODULIFT;70H 8.5MTS 100T;10H00229-10H000146-22G000230-24G000214-20G000126-17G000081;;;;;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
MDLF-0005;SPREADER;MODULIFT;70H 8.5MTS 100T;10H000145-10H000230-17G000082-22G000231-24G000213-20G000128;;;;;// GRUPO EMI/ CC-0393 OBRAS DE MEJORAMIENTO TALLER LA JUNTA N° CONTRATO 4600027978/ ;OPERATIVO - EN USO
MMTC-0002;MANIPULADOR TELESCOPICO;MANITOU;MT 1030 S;262255;BKVL-14;MANIPULADORES TELESCOPICO;MAQUINARIA SEMIPESADA;2009;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
MMTC-0005;MANIPULADOR TELESCOPICO;MANITOU;MT 1030 S;904235;;MANIPULADORES TELESCOPICO;MAQUINARIA SEMIPESADA;2011;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
MMTC-0006;MANIPULADOR TELESCOPICO;MANITOU;MRTX-1440;765298;;MANIPULADORES TELESCOPICO;MAQUINARIA SEMIPESADA;2013;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
MMTC-0007;MANIPULADOR TELESCOPICO;MANITOU;MRTX-1440;765872;GPRJ-60;MANIPULADORES TELESCOPICO;MAQUINARIA SEMIPESADA;2014;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
MMTC-0009;MANIPULADOR TELESCOPICO;MANITOU;MT 1030 S;904235;;MANIPULADORES TELESCOPICO;MAQUINARIA SEMIPESADA;2012;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
